method,method_label,runs,mse_mean,mse_std,mse_median,mse_q25,mse_q75,mse_iqr,improvement_mean,improvement_std,improvement_median,improvement_q25,improvement_q75,improvement_iqr,improved_runs,runtime_mean,runtime_std,runtime_median,runtime_q25,runtime_q75,runtime_iqr
baseline,Fixed receiver layout,10,3358.8746826171873,65.53942799640764,3370.0233154296875,3316.0096435546875,3396.7802124023438,80.77056884765625,0.0,,0.0,0.0,0.0,0.0,0,166.25333368880675,0.8595587273473877,165.9228335241787,165.73406100901775,166.2756461952813,0.5415851862635463
illumination,Stochastic illumination,10,2796.1988525390625,274.64859666406335,2873.271728515625,2629.4439086914062,2970.254638671875,340.81072998046875,16.693837426266896,8.56869092424086,14.16809330344786,11.465537510763973,19.75337455800674,8.287837047242768,10,356.5442554219626,0.797887688426239,356.6448546065949,356.4711314055603,357.1779036014341,0.706772195873782
waveform_misfit,Waveform misfit,10,3041.56123046875,125.37302100060819,3057.1080322265625,2930.9971923828125,3124.615478515625,193.6182861328125,9.406506283908193,4.339935225257451,8.624221890670654,5.878721165540542,12.747486565889002,6.86876540034846,10,503.08335640188307,0.687059830899695,503.12521565007046,502.8755748209078,503.6225874153897,0.7470125944819301
oracle,Oracle model error,10,2732.2778564453124,242.38015455693116,2684.7119140625,2564.4423828125,2954.5106201171875,390.0682373046875,18.649643358739333,7.0575877016269795,18.66030958321381,11.901677449432425,22.928409261619507,11.026731812187082,10,479.2349850426428,1.1556480306130468,478.9169999230653,478.63681211089715,479.50533116981387,0.8685190589167178
